Users_Followers,Post_Length,Number of Mentions (@),Number of Hashtags (#),# of Favorites,# of Boosts,Post Time,Post has Media
115,592,0,7,0,1,2024-11-20 17:31:34+00:00,1
397,140,2,0,0,0,2024-11-20 17:31:27+00:00,0
814,170,0,0,0,0,2024-11-20 17:31:32+00:00,0
103,130,0,0,0,0,2024-11-20 17:31:32+00:00,0
3261,164,0,0,0,0,2024-11-20 17:31:25+00:00,0
380,150,1,0,0,0,2024-11-20 17:31:30+00:00,0
169,100,0,0,0,0,2024-11-20 17:31:28+00:00,0
43,244,0,0,0,0,2024-11-20 17:31:27.645000+00:00,0
38,382,0,1,0,1,2024-11-20 17:31:26+00:00,1
78,53,1,0,0,0,2024-11-20 17:31:23+00:00,0
94640,278,1,0,0,0,2024-11-20 17:01:35+00:00,0
133,47,1,0,0,0,2024-11-20 17:31:23+00:00,0
975,142,1,0,0,0,2024-11-20 17:31:24.993000+00:00,0
263,117,1,0,0,0,2024-11-20 17:31:20+00:00,0
495,433,0,3,0,1,2024-11-20 17:31:24+00:00,0
2482,0,0,0,0,0,2024-11-20 17:36:59+00:00,1
30,25,1,0,0,0,2024-11-20 17:36:41+00:00,0
520,92,0,0,0,0,2024-11-20 17:36:56+00:00,0
185,135,0,0,0,0,2024-11-20 17:36:54+00:00,0
244981,260,1,0,0,0,2024-11-20 17:07:00+00:00,0
29201,383,0,0,0,0,2024-11-20 17:36:44+00:00,1
376,88,1,0,0,0,2024-11-20 17:36:41+00:00,0
1148,46,1,0,0,0,2024-11-20 17:36:48+00:00,0
13,76,1,0,0,0,2024-11-20 17:36:40+00:00,0
2511,218,0,0,0,0,2024-11-20 17:36:22+00:00,1
3368,307,0,0,0,0,2024-11-20 17:36:39+00:00,1
29201,326,0,0,0,0,2024-11-20 17:36:39+00:00,1
3920,492,0,0,0,0,2024-11-20 17:36:39+00:00,0
232,79,1,0,0,0,2024-11-20 17:36:36+00:00,0
1032,104,1,0,0,0,2024-11-20 17:36:36+00:00,0
3896,221,2,0,0,0,2024-11-20 17:36:40+00:00,0
244981,284,1,0,0,0,2024-11-20 16:54:00+00:00,0
264,25,1,0,0,0,2024-11-20 17:36:39+00:00,0
315,176,0,0,0,0,2024-11-20 17:36:20+00:00,0
3089,358,0,5,0,0,2024-11-20 17:36:32+00:00,0
2540,320,1,0,0,1,2024-11-20 16:58:20+00:00,0
2540,226,1,0,0,1,2024-11-20 16:57:29+00:00,0
272,39,1,0,0,0,2024-11-20 17:36:33+00:00,0
391,19,1,0,0,0,2024-11-20 17:36:34+00:00,0
406,50,3,0,0,0,2024-11-20 17:36:31.426000+00:00,0
471,62,1,0,0,0,2024-11-20 17:36:31+00:00,0
3648,224,0,0,0,0,2024-11-20 17:31:25+00:00,0
1115,86,1,0,0,0,2024-11-20 17:36:27+00:00,0
2444,433,1,0,0,0,2024-11-20 17:31:55+00:00,0
71,24,1,0,0,0,2024-11-20 17:36:12+00:00,0
370,46,1,0,0,0,2024-11-20 17:36:19+00:00,0
101,65,0,0,0,0,2024-11-20 17:36:15+00:00,0
528,308,1,0,0,0,2024-11-20 17:36:18+00:00,1
2986,1356,0,11,0,0,2024-11-20 17:36:13+00:00,1
831,39,1,0,0,0,2024-11-20 17:36:11+00:00,0
680,110,1,0,0,0,2024-11-20 17:36:15+00:00,0
30359,544,0,1,0,0,2024-11-20 17:36:13+00:00,0
167666,241,1,0,0,0,2024-11-20 16:10:00+00:00,0
264,33,1,0,0,0,2024-11-20 17:36:12+00:00,0
31431,486,0,0,0,0,2024-11-20 17:36:07+00:00,0
203,216,1,0,0,0,2024-11-20 17:41:59+00:00,0
3954,254,0,0,0,0,2024-11-20 17:42:00+00:00,0
67,215,0,6,0,0,2024-11-20 17:41:56+00:00,1
375,300,0,0,0,0,2024-11-20 17:41:59+00:00,0
202,233,1,7,0,1,2024-11-20 17:41:58+00:00,0
11,15,1,0,0,0,2024-11-20 17:41:56+00:00,0
2463,539,0,2,0,0,2024-11-20 17:41:52+00:00,0
1196,36,1,0,0,0,2024-11-20 17:41:51+00:00,0
108,178,2,0,0,0,2024-11-20 17:41:56+00:00,0
618,72,1,0,0,0,2024-11-20 17:41:49+00:00,0
596,316,1,6,0,0,2024-11-20 17:41:45+00:00,0
421,33,0,0,0,0,2024-11-20 17:41:38+00:00,0
528,143,0,0,0,0,2024-11-20 17:41:32.356000+00:00,0
336,65,1,0,0,0,2024-11-20 17:41:51+00:00,0
183,79,1,0,0,0,2024-11-20 17:41:45+00:00,0
1330,156,1,0,0,0,2024-11-20 17:41:49+00:00,0
2,164,1,0,0,0,2024-11-20 17:41:21+00:00,0
31431,378,0,4,0,0,2024-11-20 17:41:41+00:00,0
937,101,1,0,0,0,2024-11-20 17:41:45+00:00,0
642,97,2,0,0,0,2024-11-20 17:41:27+00:00,0
1935,66,1,0,0,0,2024-11-20 17:41:41+00:00,0
672,372,1,3,0,0,2024-11-20 17:41:09+00:00,1
356,25,1,0,0,0,2024-11-20 17:41:34+00:00,0
140,278,1,0,0,0,2024-11-20 17:41:41+00:00,0
518,10,1,0,0,0,2024-11-20 17:41:40+00:00,0
1360,288,0,0,0,0,2024-11-20 17:41:37.619000+00:00,0
493,188,1,0,0,0,2024-11-20 17:41:37+00:00,0
92,132,0,1,0,0,2024-11-20 17:41:30+00:00,0
72,77,1,0,0,0,2024-11-20 17:41:28+00:00,0
3920,19,1,0,0,0,2024-11-20 17:41:26+00:00,0
719,527,6,5,0,2,2024-11-20 17:41:27+00:00,1
127,63,1,0,0,1,2024-11-20 17:41:27.033000+00:00,0
1024,106,1,0,0,0,2024-11-20 17:41:21+00:00,0
221,90,1,0,0,0,2024-11-20 17:41:21+00:00,0
422,37,1,0,0,0,2024-11-20 17:41:18+00:00,0
1656,171,1,0,0,0,2024-11-20 17:41:00+00:00,0
9451,492,0,5,0,0,2024-11-20 17:41:19+00:00,1
999,161,0,1,0,0,2024-11-20 17:41:12+00:00,1
3368,178,0,0,0,0,2024-11-20 17:41:18+00:00,1
1477,53,0,0,0,0,2024-11-20 17:41:18+00:00,0
1630,449,0,2,0,0,2024-11-20 17:47:01+00:00,0
375,88,0,0,0,0,2024-11-20 17:47:00+00:00,0
17,32,1,0,0,0,2024-11-20 17:46:58.945000+00:00,0
26,1469,1,0,0,0,2024-11-20 17:46:40+00:00,0
39574,284,1,0,0,0,2024-11-20 17:15:27+00:00,0
6486,60,0,0,0,0,2024-11-20 17:46:51+00:00,1
377,840,0,0,0,0,2024-11-20 17:46:51+00:00,0
268,103,0,1,0,1,2024-11-20 17:46:52+00:00,1
780,60,0,2,0,0,2024-11-20 17:46:28.572000+00:00,0
1013,374,4,0,0,0,2024-11-20 17:46:47+00:00,0
1151,55,0,0,0,0,2024-11-20 17:46:47+00:00,0
4828,147,0,0,0,0,2024-11-20 17:46:19+00:00,0
955,53,2,0,0,0,2024-11-20 17:46:46+00:00,0
762,248,1,0,0,0,2024-11-20 17:46:47+00:00,1
94,43,1,0,0,0,2024-11-20 17:46:39+00:00,0
307,407,0,6,0,0,2024-11-20 17:46:42+00:00,0
398,105,1,0,0,0,2024-11-20 17:46:37+00:00,0
3495,24,1,0,0,0,2024-11-20 17:46:33+00:00,0
2618,147,3,0,0,0,2024-11-20 17:46:29.498000+00:00,0
9451,487,0,11,0,0,2024-11-20 17:46:30+00:00,1
409,183,0,5,0,0,2024-11-20 17:46:06+00:00,0
24769,65,0,0,0,0,2024-11-20 17:46:06+00:00,1
3017,477,0,22,0,0,2024-11-20 17:46:28+00:00,1
